"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 00:37:35 BST 2021","Wed Jul 21 00:38:05 BST 2021","30156","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Given I am on campaign page","Given I am on campaign page",""
"passed","Wed Jul 21 01:12:44 BST 2021","Wed Jul 21 01:12:44 BST 2021","2","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","",""
"passed","Wed Jul 21 01:10:00 BST 2021","Wed Jul 21 01:10:00 BST 2021","117","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","When I click hamburger icon in top nav bar","When I click hamburger icon in top nav bar",""
"passed","Wed Jul 21 01:16:58 BST 2021","Wed Jul 21 01:16:59 BST 2021","1369","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","When I click main menu item ""Buy"" in side nav bar","When I click main menu item ""Buy"" in side nav bar",""
"passed","Wed Jul 21 00:38:29 BST 2021","Wed Jul 21 00:39:16 BST 2021","46985","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav","Then I validate sub menu items ""Fleet sales, Used cars,Diplomatic sales, Child seats"" in side nav",""
"passed","Wed Jul 21 01:16:24 BST 2021","Wed Jul 21 01:16:24 BST 2021","296","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","Then I see side navigation bar is ""not displayed""","Then I see side navigation bar is ""not displayed""",""
"passed","Wed Jul 21 01:13:05 BST 2021","Wed Jul 21 01:13:22 BST 2021","16743","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","Then I validate sub menu items ""Recharge, Concepts"" in side nav","Then I validate sub menu items ""Recharge, Concepts"" in side nav",""
"passed","Wed Jul 21 01:10:38 BST 2021","Wed Jul 21 01:10:38 BST 2021","114","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Buy""","Then I see sub menu drawer with title ""Buy"" is displayed in side nav bar","Then I see sub menu drawer with title ""Buy"" is displayed in side nav bar",""
"passed","Wed Jul 21 01:09:04 BST 2021","Wed Jul 21 01:09:04 BST 2021","7","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC90 Recharge"" and recharge type ""plug-in hybrid""","","",""
"passed","Wed Jul 21 01:18:35 BST 2021","Wed Jul 21 01:18:37 BST 2021","1391","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","Then I see side navigation bar is ""displayed""","Then I see side navigation bar is ""displayed""",""
"passed","Wed Jul 21 01:18:39 BST 2021","Wed Jul 21 01:18:58 BST 2021","19422","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","Then I validate sub menu items ""Our Story, Our Heritage"" in side nav","Then I validate sub menu items ""Our Story, Our Heritage"" in side nav",""
"passed","Wed Jul 21 01:14:49 BST 2021","Wed Jul 21 01:14:49 BST 2021","2","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC60 Recharge"" and recharge type ""plug-in hybrid""","","",""
"passed","Wed Jul 21 01:12:19 BST 2021","Wed Jul 21 01:12:19 BST 2021","180","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Why Volvo""","When I click hamburger icon in top nav bar","When I click hamburger icon in top nav bar",""
"passed","Wed Jul 21 00:36:24 BST 2021","Wed Jul 21 00:36:24 BST 2021","4","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""plug-in hybrid""","","",""
"passed","Wed Jul 21 00:36:42 BST 2021","Wed Jul 21 00:36:42 BST 2021","10","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","Campaign carousel items: Validate carousel items displayed model name ""XC40 Recharge"" and recharge type ""pure electric""","","",""
"passed","Wed Jul 21 01:16:10 BST 2021","Wed Jul 21 01:16:11 BST 2021","1188","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","","Campaign page menu bar and menu items items: Validate Navigation Side bar show hide","When I click hamburger icon in top nav bar","When I click hamburger icon in top nav bar",""
"passed","Wed Jul 21 01:17:48 BST 2021","Wed Jul 21 01:17:49 BST 2021","755","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Own""","Then I validate main menu item ""Own"" in side nav bar","Then I validate main menu item ""Own"" in side nav bar",""
"passed","Wed Jul 21 01:13:22 BST 2021","Wed Jul 21 01:13:22 BST 2021","8","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","Campaign page menu bar and menu items items: Validate Navigation Side bar menu item ""Explore""","","",""
